Product No.,Description,CAS,Package Size,Price (Euro),USP Traceability
CRM39725,S-Kinoprene,65733-20-2,50 mg,EUR 159,
PHR1000,Dextrose,50-99-7,1 g,EUR 84.4,1181302
PHR1001,Sucrose,57-50-1,1 g,EUR 84.4,1623637
PHR1002,Fructose,57-48-7,1 g,EUR 84.4,1286504
PHR1003,Aspirin (Acetyl Salicylic Acid),50-78-2,1 g,EUR 72.6,1044006
PHR1004,Ibuprofen,15687-27-1,1 g,EUR 84.4,1335508
PHR1005,Acetaminophen,103-90-2,1 g,EUR 72.6,1003009
PHR1005,Acetaminophen,103-90-2,10 g,EUR 634,1003009
PHR1006,Sorbitol,50-70-4,1 g,EUR 84.4,1617000
PHR1007,Mannitol,69-65-8,1 g,EUR 84.4,1375105
PHR1008,Ascorbic Acid,50-81-7,2 g,EUR 92.9,1043003
PHR1008,Ascorbic Acid,50-81-7,10 g,EUR 567,1043003
PHR1009,Caffeine,58-08-2,1 g,EUR 72.6,1085003
PHR1010,Propylparaben,94-13-3,1 g,EUR 72.6,1577008
PHR1010,Propylparaben,94-13-3,10 g,EUR 551,1577008
PHR1011,Ethylparaben,120-47-8,1 g,EUR 84.4,1267000
PHR1011,Ethylparaben,120-47-8,10 g,EUR 551,1267000
PHR1012,Methylparaben,99-76-3,1 g,EUR 72.6,1432005
PHR1012,Methylparaben,99-76-3,10 g,EUR 551,1432005
PHR1013,Salicylic acid,69-72-7,1 g,EUR 72.6,1609002
PHR1014,Hydrocortisone,50-23-7,500 mg,EUR 92.9,1316004
PHR1015,Diphenhydramine hydrochloride,147-24-0,1 g,EUR 84.4,1218005
PHR1016,Chlorpheniramine Maleate,113-92-8,500 mg,EUR 72.6,1123000
PHR1017,Phenylephrine Hydrochloride,61-76-7,500 mg,EUR 80.8,1533002
PHR1018,Dextromethorphan HBr,6700-34-1,500 mg,EUR 80.8,1181007
PHR1019,Benzyl alcohol,100-51-6,1 g,EUR 72.6,1061901
PHR1020,Glycerin,56-81-5,5 g,EUR 84.4,1295607
PHR1021,Clindamycin Phosphate,24729-96-2,1 g,EUR 80.8,1138008
PHR1022,Butylparaben,94-26-8,1 g,EUR 72.6,1084000
PHR1022,Butylparaben,94-26-8,10 g,EUR 567,1084000
PHR1023,Theophylline,58-55-9,1 g,EUR 84.4,1653004
PHR1024,Lactose (Monohydrate),64044-51-5,1 g,EUR 83.1,1356701
PHR1025,"Lactose, Anhydrous",63-42-3,1 g,EUR 72.6,1356676
PHR1026,Ranitidine hydrochloride,66357-59-3,500 mg,EUR 92.8,1598405
PHR1027,Guaifenesin,93-14-1,1 g,EUR 84.4,1301007
PHR1028,"1,4-Benzoquinone",106-51-4,1 g,EUR 72.6,1056504
PHR1029,"Tocopheryl Acid Succinate, a",4345-03-3,500 mg,EUR 84.4,1667803
PHR1030,"Tocopheryl Acetate, a",7695-91-2,500 mg,EUR 83.1,1667701
PHR1031,Alpha Tocopherol,10191-41-0,500 mg,EUR 72.6,1667600
PHR1032,Hydrochlorothiazide,58-93-5,1 g,EUR 80.8,1314009
PHR1033,Niacinamide,98-92-0,1 g,EUR 84.4,1462006
PHR1034,Lidocaine,137-58-6,1 g,EUR 72.6,1366002
PHR1035,Folic acid,59-30-3,1 g,EUR 84.4,1286005
PHR1036,Pyridoxine hydrochloride,58-56-0,500 mg,EUR 84.4,1587001
PHR1037,Thiamine hydrochloride,67-03-8,1 g,EUR 92.9,1656002
PHR1038,Clarithromycin,81103-11-9,500 mg,EUR 80.8,1134379
PHR1039,Erythromycin,114-07-8,1 g,EUR 106,1242000
PHR1040,Naproxen,22204-53-1,500 mg,EUR 92.8,1457301
PHR1041,Tetracycline hydrochloride,64-75-5,500 mg,EUR 80.8,1651009
PHR1042,Prednisone,53-03-2,1 g,EUR 80.8,1559006
PHR1043,Prednisolone,50-24-8,500 mg,EUR 80.8,1555005
PHR1044,Ciprofloxacin HCl,86393-32-0,1 g,EUR 80.8,1134335
PHR1045,Diethylene glycol,111-46-6,1 g,EUR 72.6,1193265
PHR1046,Ethylene glycol,107-21-1,1 g,EUR 72.6,1265515
PHR1047,Phenol,108-95-2,1 g,EUR 84.4,1524806
PHR1048,4-Hydroxybenzoic acid,99-96-7,1 g,EUR 72.6,1609013
PHR1049,Gabapentin,60142-96-3,1 g,EUR 92.8,1287303
PHR1050,Benzoic acid,65-85-0,1 g,EUR 72.6,1055002
PHR1051,Propylene glycol,57-55-6,1.5 g,EUR 84.4,1576708
PHR1052,Metronidazole,443-48-1,1 g,EUR 72.6,1442009
PHR1053,Albuterol sulfate,51022-70-9,1 g,EUR 72.6,1012633
PHR1054,Riboflavin,83-88-5,1 g,EUR 84.4,1603006
PHR1055,Famotidine,76824-35-6,1 g,EUR 151,1269200
